Filename,ids
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/33_6.bmp,33
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/217_3.bmp,217
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/219_10.bmp,219
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/172_11.bmp,172
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/38_2.bmp,38
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/133_3.bmp,133
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/57_2.bmp,57
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/27_9.bmp,27
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/165_5.bmp,165
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/198_5.bmp,198
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/64_10.bmp,64
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/193_1.bmp,193
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/208_8.bmp,208
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/134_9.bmp,134
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/76_5.bmp,76
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/80_1.bmp,80
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/117_10.bmp,117
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/24_10.bmp,24
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/236_4.bmp,236
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/120_6.bmp,120
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/204_6.bmp,204
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/19_5.bmp,19
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/132_11.bmp,132
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/50_8.bmp,50
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/20_3.bmp,20
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/197_10.bmp,197
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/129_11.bmp,129
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/76_2.bmp,76
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/35_12.bmp,35
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/80_6.bmp,80
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/176_7.bmp,176
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/236_3.bmp,236
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/120_1.bmp,120
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/81_11.bmp,81
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/119_7.bmp,119
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/19_2.bmp,19
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/162_8.bmp,162
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/204_1.bmp,204
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/69_9.bmp,69
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/20_4.bmp,20
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/208_12.bmp,208
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/33_1.bmp,33
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/217_4.bmp,217
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/71_8.bmp,71
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/38_5.bmp,38
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/133_4.bmp,133
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/75_12.bmp,75
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/57_5.bmp,57
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/146_12.bmp,146
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/169_11.bmp,169
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/165_2.bmp,165
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/198_2.bmp,198
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/202_10.bmp,202
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/115_9.bmp,115
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/65_7.bmp,65
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/193_6.bmp,193
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/222_2.bmp,222
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/176_9.bmp,176
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/80_8.bmp,80
/home/spandey8/ridgebase_ICPR/FM_bhavin/hkpoly_data/cl/train/34_5.bmp,34
